# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.969207e-01  1.000000e+00
4.000000e-04  1647.5047  1.722253e-02  4.826977e-01  2.128968e+00
8.000000e-04  1752.7727  1.770251e-02  4.846770e-01  2.167640e+00
1.200000e-03  1799.1629  1.792470e-02  4.853167e-01  2.229736e+00
1.600000e-03  1823.3550  1.803808e-02  4.856847e-01  2.258388e+00
2.000000e-03  1839.0511  1.810953e-02  4.859341e-01  2.276850e+00
2.400000e-03  1848.8404  1.815362e-02  4.861029e-01  2.289623e+00
2.800000e-03  1855.5275  1.818401e-02  4.862267e-01  2.300811e+00
3.200000e-03  1860.2480  1.820556e-02  4.863262e-01  2.308410e+00
3.600000e-03  1864.2107  1.822377e-02  4.864114e-01  2.314676e+00
4.000000e-03  1867.1991  1.823774e-02  4.864776e-01  2.319122e+00
4.400000e-03  1869.3543  1.824789e-02  4.865210e-01  2.322459e+00
4.800000e-03  1871.1500  1.825631e-02  4.865524e-01  2.325673e+00
5.200000e-03  1872.0629  1.825920e-02  4.865295e-01  2.329539e+00
5.600000e-03  1873.4516  1.826537e-02  4.865431e-01  2.331382e+00
6.000000e-03  1874.0859  1.826598e-02  4.864963e-01  2.332816e+00
6.400000e-03  1874.6699  1.826622e-02  4.864456e-01  2.334222e+00
6.800000e-03  1875.2539  1.826646e-02  4.863948e-01  2.335628e+00
7.200000e-03  1875.3216  1.826034e-02  4.862749e-01  2.336245e+00
7.600000e-03  1875.2700  1.825276e-02  4.861390e-01  2.336679e+00
8.000000e-03  1875.2184  1.824517e-02  4.860031e-01  2.337113e+00
8.400000e-03  1874.7904  1.822924e-02  4.858035e-01  2.337329e+00
8.800000e-03  1874.1912  1.820953e-02  4.855749e-01  2.337445e+00
9.200000e-03  1873.5921  1.818981e-02  4.853463e-01  2.337562e+00
9.600000e-03  1872.7518  1.815923e-02  4.850779e-01  2.337406e+00
1.000000e-02  1871.7239  1.812020e-02  4.847785e-01  2.337039e+00
1.040000e-02  1870.6961  1.808116e-02  4.844792e-01  2.336672e+00
1.080000e-02  1869.5709  1.802895e-02  4.841691e-01  2.335988e+00
1.120000e-02  1868.3204  1.795979e-02  4.838452e-01  2.334894e+00
1.160000e-02  1867.0700  1.789063e-02  4.835213e-01  2.333801e+00
1.200000e-02  1865.8515  1.780736e-02  4.832025e-01  2.332558e+00
1.240000e-02  1864.7031  1.769305e-02  4.828949e-01  2.330986e+00
1.280000e-02  1863.5547  1.757875e-02  4.825873e-01  2.329414e+00
1.320000e-02  1862.5106  1.745244e-02  4.822806e-01  2.327575e+00
1.360000e-02  1861.9182  1.727414e-02  4.819774e-01  2.324576e+00
1.400000e-02  1861.3259  1.709584e-02  4.816743e-01  2.321577e+00
1.440000e-02  1860.8073  1.691232e-02  4.813642e-01  2.318648e+00
1.480000e-02  1861.3949  1.665048e-02  4.809501e-01  2.316754e+00
1.520000e-02  1861.9824  1.638865e-02  4.805360e-01  2.314860e+00
1.560000e-02  1862.5699  1.612682e-02  4.801219e-01  2.312966e+00
1.600000e-02  1864.8667  1.577594e-02  4.794167e-01  2.309065e+00
1.640000e-02  1867.2774  1.541913e-02  4.786920e-01  2.305030e+00
1.680000e-02  1869.6881  1.506232e-02  4.779674e-01  2.300994e+00
1.720000e-02  1874.7332  1.464917e-02  4.765508e-01  2.305562e+00
1.760000e-02  1878.3783  1.427628e-02  4.755677e-01  2.308605e+00
1.800000e-02  1884.5648  1.384309e-02  4.738733e-01  2.315048e+00
1.840000e-02  1891.6356  1.340176e-02  4.719164e-01  2.325224e+00
1.880000e-02  1900.1003  1.299429e-02  4.694346e-01  2.335771e+00
1.920000e-02  1908.5773  1.263237e-02  4.668576e-01  2.353444e+00
1.960000e-02  1916.8022  1.235073e-02  4.642028e-01  2.384647e+00
