# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.238432e-01  5.000000e-02
3.000000e-04  1418.0902  1.913438e-02  4.194343e-01  1.282978e+00
6.000000e-04  1600.4080  1.933781e-02  4.243281e-01  1.589854e+00
9.000000e-04  1774.4834  1.968002e-02  4.232018e-01  1.786585e+00
1.200000e-03  1978.1731  1.995797e-02  4.203692e-01  1.971610e+00
1.500000e-03  2215.4453  2.019057e-02  4.145200e-01  2.168097e+00
1.800000e-03  2472.1984  2.037189e-02  4.032715e-01  2.376355e+00
2.100000e-03  2722.3682  2.046534e-02  3.832581e-01  2.585184e+00
2.400000e-03  2951.6387  2.041968e-02  3.510151e-01  2.788065e+00
2.700000e-03  3171.7791  2.019015e-02  3.075923e-01  3.018894e+00
3.000000e-03  3286.9663  1.962878e-02  2.643075e-01  3.180419e+00
3.300000e-03  3363.7048  1.880681e-02  2.251328e-01  3.313012e+00
3.600000e-03  3427.2372  1.778458e-02  1.904101e-01  3.442395e+00
3.900000e-03  3485.3270  1.659770e-02  1.595534e-01  3.553119e+00
4.200000e-03  3539.8055  1.529439e-02  1.320072e-01  3.655404e+00
4.500000e-03  3591.4348  1.388815e-02  1.081400e-01  3.741182e+00
4.800000e-03  3641.6416  1.242984e-02  8.707862e-02  3.808105e+00
5.100000e-03  3690.5255  1.094826e-02  6.911837e-02  3.853188e+00
5.400000e-03  3739.0905  9.484504e-03  5.373794e-02  3.876856e+00
5.700000e-03  3787.3355  8.080106e-03  4.108037e-02  3.870868e+00
6.000000e-03  3835.0382  6.772450e-03  3.082487e-02  3.836003e+00
6.300000e-03  3883.3567  5.590137e-03  2.278452e-02  3.754264e+00
6.600000e-03  3919.7386  4.606087e-03  1.712088e-02  3.632468e+00
6.900000e-03  3948.7126  3.793061e-03  1.309879e-02  3.480236e+00
7.200000e-03  3953.0452  3.214665e-03  1.094223e-02  3.265474e+00
7.500000e-03  3906.5488  2.840125e-03  1.038201e-02  2.986968e+00
7.800000e-03  3825.5602  2.599459e-03  1.099100e-02  2.654731e+00
8.100000e-03  3760.8889  2.413266e-03  1.219800e-02  2.336262e+00
8.400000e-03  3691.4391  2.248741e-03  1.411814e-02  2.024801e+00
8.700000e-03  3614.4277  2.083600e-03  1.680225e-02  1.716518e+00
9.000000e-03  3522.5180  1.896348e-03  2.057507e-02  1.414352e+00
9.300000e-03  3413.7669  1.663367e-03  2.561324e-02  1.130330e+00
9.600000e-03  3275.6676  1.355941e-03  3.166058e-02  8.762465e-01
9.900000e-03  3071.2120  9.646946e-04  3.756914e-02  6.854943e-01
1.020000e-02  2709.2038  5.402079e-04  4.016257e-02  6.277489e-01
1.050000e-02  2094.2547  2.058769e-04  3.514876e-02  7.771252e-01
1.080000e-02  1280.1801  5.551043e-05  2.118007e-02  1.148505e+00
1.110000e-02  477.2159  2.726549e-05  4.691972e-03  1.669107e+00
1.140000e-02  279.9733  5.856337e-06  0.000000e+00  1.728478e+00
1.170000e-02  300.7133  5.014371e-07  4.067109e-10  1.570278e+00
1.200000e-02  300.4683  1.580929e-08  2.742522e-10  1.419972e+00
1.230000e-02  300.4550  2.564006e-08  7.598251e-09  1.287339e+00
1.260000e-02  300.5407  4.066207e-08  1.837970e-08  1.185370e+00
1.290000e-02  300.5266  4.000769e-08  1.821159e-08  1.122188e+00
1.320000e-02  300.4882  3.714602e-08  1.138175e-08  1.098978e+00
1.350000e-02  300.4436  3.304191e-08  4.625089e-09  1.112673e+00
1.380000e-02  300.4025  2.820181e-08  1.221896e-09  1.158005e+00
1.410000e-02  300.3676  2.308098e-08  3.041514e-10  1.229361e+00
1.440000e-02  300.3382  1.806212e-08  4.588099e-10  1.321717e+00
1.470000e-02  300.3122  1.345220e-08  1.054388e-10  1.430874e+00
1.500000e-02  300.2882  9.354594e-09  -6.566972e-12  1.553360e+00
1.530000e-02  300.2458  8.179501e-09  7.421474e-12  1.686427e+00
