# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.901128e-01  1.000000e+00
5.000000e-04  1694.2079  1.730560e-02  4.876752e-01  1.333204e+00
1.000000e-03  1802.1944  1.774644e-02  4.907665e-01  1.388996e+00
1.500000e-03  1844.1743  1.794176e-02  4.913977e-01  1.416595e+00
2.000000e-03  1866.8314  1.804736e-02  4.917815e-01  1.431508e+00
2.500000e-03  1878.6500  1.810416e-02  4.920034e-01  1.439832e+00
3.000000e-03  1887.3970  1.814703e-02  4.921696e-01  1.445913e+00
3.500000e-03  1893.2629  1.817636e-02  4.922743e-01  1.449940e+00
4.000000e-03  1897.0969  1.819668e-02  4.923275e-01  1.452350e+00
4.500000e-03  1899.6928  1.821158e-02  4.923386e-01  1.454105e+00
5.000000e-03  1901.0350  1.822090e-02  4.922812e-01  1.455541e+00
5.500000e-03  1902.5957  1.823129e-02  4.922382e-01  1.456641e+00
6.000000e-03  1903.3018  1.823749e-02  4.921208e-01  1.457200e+00
6.500000e-03  1903.7230  1.824229e-02  4.919785e-01  1.457579e+00
7.000000e-03  1903.9422  1.824582e-02  4.918098e-01  1.457825e+00
7.500000e-03  1903.5554  1.824556e-02  4.915617e-01  1.457673e+00
8.000000e-03  1903.1686  1.824529e-02  4.913135e-01  1.457520e+00
8.500000e-03  1902.3228  1.824050e-02  4.909953e-01  1.457241e+00
9.000000e-03  1901.3241  1.823419e-02  4.906539e-01  1.456919e+00
9.500000e-03  1900.2175  1.822586e-02  4.902976e-01  1.456547e+00
1.000000e-02  1898.7874  1.821143e-02  4.898971e-01  1.456027e+00
1.050000e-02  1897.3573  1.819701e-02  4.894965e-01  1.455507e+00
1.100000e-02  1895.7571  1.817409e-02  4.890833e-01  1.454898e+00
1.150000e-02  1894.1003  1.814833e-02  4.886658e-01  1.454261e+00
1.200000e-02  1892.4425  1.811864e-02  4.882515e-01  1.453584e+00
1.250000e-02  1890.7820  1.807715e-02  4.878468e-01  1.452791e+00
1.300000e-02  1889.1215  1.803566e-02  4.874422e-01  1.451997e+00
1.350000e-02  1887.6448  1.797858e-02  4.870491e-01  1.450980e+00
1.400000e-02  1886.2294  1.791631e-02  4.866599e-01  1.449889e+00
1.450000e-02  1884.9488  1.784786e-02  4.862673e-01  1.448746e+00
1.500000e-02  1884.0728  1.776085e-02  4.858647e-01  1.447451e+00
1.550000e-02  1883.1968  1.767385e-02  4.854621e-01  1.446155e+00
1.600000e-02  1882.9939  1.756890e-02  4.850063e-01  1.444307e+00
1.650000e-02  1883.0154  1.745798e-02  4.845327e-01  1.442276e+00
1.700000e-02  1883.3506  1.734408e-02  4.840202e-01  1.440363e+00
1.750000e-02  1884.6266  1.722126e-02  4.833910e-01  1.438803e+00
1.800000e-02  1885.9026  1.709845e-02  4.827618e-01  1.437243e+00
1.850000e-02  1887.8977  1.699212e-02  4.820196e-01  1.434390e+00
1.900000e-02  1890.1323  1.689129e-02  4.812398e-01  1.431107e+00
1.950000e-02  1891.8084  1.681566e-02  4.806550e-01  1.428644e+00
